ISO3,Country,Latitude,Longitude
ABW,Aruba,12.5,-69.9667
AFG,Afghanistan,33.0,65.0
AGO,Angola,-12.5,18.5
AIA,Anguilla,18.25,-63.1667
ALA,Åland Islands,60.116667,19.9
ALB,Albania,41.0,20.0
AND,Andorra,42.5,1.6
ANT,Netherlands Antilles,12.25,-68.75
ARE,United Arab Emirates,24.0,54.0
ARG,Argentina,-34.0,-64.0
ARM,Armenia,40.0,45.0
ASM,American Samoa,-14.3333,-170.0
ATA,Antarctica,-90.0,0.0
ATF,French Southern Territories,-43.0,67.0
ATG,Antigua and Barbuda,17.05,-61.8
AUS,Australia,-27.0,133.0
AUT,Austria,47.3333,13.3333
AZE,Azerbaijan,40.5,47.5
BDI,Burundi,-3.5,30.0
BEL,Belgium,50.8333,4.0
BEN,Benin,9.5,2.25
BES,"Bonaire, Sint Eustatius and Saba",12.183333,-68.233333
BFA,Burkina Faso,13.0,-2.0
BGD,Bangladesh,24.0,90.0
BGR,Bulgaria,43.0,25.0
BHR,Bahrain,26.0,50.55
BHS,Bahamas,24.25,-76.0
BIH,Bosnia and Herzegovina,44.0,18.0
BLM,Saint Barthélemy,17.897728,-62.834244
BLR,Belarus,53.0,28.0
BLZ,Belize,17.25,-88.75
BMU,Bermuda,32.3333,-64.75
BOL,"Bolivia, Plurinational State of",-17.0,-65.0
BRA,Brazil,-10.0,-55.0
BRB,Barbados,13.1667,-59.5333
BRN,Brunei Darussalam,4.5,114.6667
BTN,Bhutan,27.5,90.5
BVT,Bouvet Island,-54.4333,3.4
BWA,Botswana,-22.0,24.0
CAF,Central African Republic,7.0,21.0
CAN,Canada,60.0,-95.0
CCK,Cocos (Keeling) Islands,-12.5,96.8333
CHE,Switzerland,47.0,8.0
CHL,Chile,-30.0,-71.0
CHN,China,35.0,105.0
CIV,Côte d'Ivoire,8.0,-5.0
CMR,Cameroon,6.0,12.0
COD,"Congo, the Democratic Republic of the",0.0,25.0
COG,Congo,-1.0,15.0
COK,Cook Islands,-21.2333,-159.7667
COL,Colombia,4.0,-72.0
COM,Comoros,-12.1667,44.25
CPV,Cape Verde,16.0,-24.0
CRI,Costa Rica,10.0,-84.0
CUB,Cuba,21.5,-80.0
CUW,Curaçao,12.166667,-68.966667
CXR,Christmas Island,-10.5,105.6667
CYM,Cayman Islands,19.5,-80.5
CYP,Cyprus,35.0,33.0
CZE,Czech Republic,49.75,15.5
DEU,Germany,51.0,9.0
DJI,Djibouti,11.5,43.0
DMA,Dominica,15.4167,-61.3333
DNK,Denmark,56.0,10.0
DOM,Dominican Republic,19.0,-70.6667
DZA,Algeria,28.0,3.0
ECU,Ecuador,-2.0,-77.5
EGY,Egypt,27.0,30.0
ERI,Eritrea,15.0,39.0
ESH,Western Sahara,24.5,-13.0
ESP,Spain,40.0,-4.0
EST,Estonia,59.0,26.0
ETH,Ethiopia,8.0,38.0
FIN,Finland,64.0,26.0
FJI,Fiji,-18.0,175.0
FLK,Falkland Islands (Malvinas),-51.75,-59.0
FRA,France,46.0,2.0
FRO,Faroe Islands,62.0,-7.0
FSM,"Micronesia, Federated States of",6.9167,158.25
GAB,Gabon,-1.0,11.75
GBR,United Kingdom,54.0,-2.0
GEO,Georgia,42.0,43.5
GGY,Guernsey,49.5,-2.56
GHA,Ghana,8.0,-2.0
GIB,Gibraltar,36.1833,-5.3667
GIN,Guinea,11.0,-10.0
GLP,Guadeloupe,16.25,-61.5833
GMB,Gambia,13.4667,-16.5667
GNB,Guinea-Bissau,12.0,-15.0
GNQ,Equatorial Guinea,2.0,10.0
GRC,Greece,39.0,22.0
GRD,Grenada,12.1167,-61.6667
GRL,Greenland,72.0,-40.0
GTM,Guatemala,15.5,-90.25
GUF,French Guiana,4.0,-53.0
GUM,Guam,13.4667,144.7833
GUY,Guyana,5.0,-59.0
HKG,Hong Kong,22.25,114.1667
HMD,Heard Island and McDonald Islands,-53.1,72.5167
HND,Honduras,15.0,-86.5
HRV,Croatia,45.1667,15.5
HTI,Haiti,19.0,-72.4167
HUN,Hungary,47.0,20.0
IDN,Indonesia,-5.0,120.0
IMN,Isle of Man,54.23,-4.55
IND,India,20.0,77.0
IOT,British Indian Ocean Territory,-6.0,71.5
IRL,Ireland,53.0,-8.0
IRN,"Iran, Islamic Republic of",32.0,53.0
IRQ,Iraq,33.0,44.0
ISL,Iceland,65.0,-18.0
ISR,Israel,31.5,34.75
ITA,Italy,42.8333,12.8333
JAM,Jamaica,18.25,-77.5
JEY,Jersey,49.21,-2.13
JOR,Jordan,31.0,36.0
JPN,Japan,36.0,138.0
KAZ,Kazakhstan,48.0,68.0
KEN,Kenya,1.0,38.0
KGZ,Kyrgyzstan,41.0,75.0
KHM,Cambodia,13.0,105.0
KIR,Kiribati,1.4167,173.0
KNA,Saint Kitts and Nevis,17.3333,-62.75
KOR,"Korea, Republic of",37.0,127.5
KWT,Kuwait,29.3375,47.6581
LAO,Lao People's Democratic Republic,18.0,105.0
LBN,Lebanon,33.8333,35.8333
LBR,Liberia,6.5,-9.5
LBY,Libya,25.0,17.0
LCA,Saint Lucia,13.8833,-61.1333
LIE,Liechtenstein,47.1667,9.5333
LKA,Sri Lanka,7.0,81.0
